title,0,1,2,3,4,5,6,7,8,9
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",-0.248208223833672,-0.9354786388746669,-1.7661637187754828,0.22987295597286342,-0.2625056320115309,-0.2581971344994563,0.7476513997781459,0.011273377695144908,-0.2513392670246485,1.6841392053864406
"""Bungaku Shoujo"" Memoire",0.08636107495269237,0.2535869569513615,0.36290244184568704,-0.002156168799422848,-2.0029994804224778,-1.8975547941589839,1.1243260220134956,1.0542656431305761,-0.12534346567813914,0.09686594489315936
"""Bungaku Shoujo"" Movie",-0.26288773165217877,-1.0395912904200018,-0.20006830868404507,-0.6613907553275824,-0.72496603463022,-1.2969095337872716,-0.2741352139642103,-0.18960401880274133,-0.5346625217846,1.0559099150281486
.hack//G.U. Returner,0.07052152355641465,-0.09009378104652667,-0.35203437128518655,0.9614711097479539,-0.8139875352116657,-0.9418462776995553,-0.09860699496434445,2.1360570257349027,-0.49135241278693353,-0.3961943218294626
.hack//Gift,0.12033750864007582,0.14391309241539593,-1.2858943992948122,1.0208532601361928,0.1165578304774719,-0.927395059396768,-0.20544281042750698,2.59418064429919,-0.15195295574416712,-1.0143774813462336
.hack//Intermezzo,0.49228960719007925,0.33929327507566337,-0.7150288202629116,0.9229567964688516,0.4170527724080066,-0.03498736957455942,-0.048657784190026976,2.8623393361208,-0.11921306800404127,-0.6835809703173534
.hack//Liminality,-0.08156075886253002,0.3237145070907201,-0.23822907125833093,0.7275620341578487,-0.7047534284855108,0.0700838940209304,-0.026749272855713362,0.9414874618775142,0.25259724252068727,0.22798513758216626
.hack//Quantum,0.3928712757312028,-0.9886831995651317,0.649664491405669,1.794750942089557,-0.7049864408868642,-0.9968939391457247,0.08870521110413616,0.9606895713965952,0.15039590477453682,0.8093329256410432
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,0.9525355291850728,0.22567667802873229,-0.1691513972623268,2.271666457044041,-1.3184329948940283,-1.3854594532065687,1.246190961130536,0.37895301963573885,0.06557438272546837,0.6006976152286092
.hack//Roots,0.10924059421587044,0.19658688586083795,-0.21061577249945504,-0.4027143311431311,-0.5134742598965764,-0.9644213174724625,-0.3835606917266966,0.7713043087095444,-0.21378412634410943,-0.10666931606848264
.hack//Sign,0.2109172084494498,0.16749788267491764,-0.1178637802180532,0.16671354262697727,-0.01725954622653046,-0.5826661299517986,-0.8399398961733091,0.34460731170890146,0.041407618545214096,-0.16021096814792504
.hack//Tasogare no Udewa Densetsu,0.7459509529081385,-0.11955935541527717,0.1084956611423999,-0.030373975225171376,-0.24248150692175527,-0.7978646857578532,-0.5779928743256378,0.9710851827655236,-0.5577733444801115,-0.3962913161826277
.hack//Unison,1.1621020509783073,-0.10616874020397428,-0.5299571535891193,0.7586285050094752,-0.056894518876059716,-0.6534304801429118,-0.3232828877580416,2.5981424311417234,0.13416869191761366,-0.36288054996357066
009-1,-0.6940314097241398,1.3892386998289035,1.2541140065595469,0.8102897893977483,0.04191933165999846,-0.2392011422215669,0.04117360130218396,-0.9674952460653323,0.5684040143432906,0.6780503945615648
07-Ghost,-0.840521438919129,-0.2002529561591697,0.23472583194951077,0.04684032456599845,0.014807696251226797,-0.112895310146177,-0.6951828086296606,-1.2019234912712782,-0.69061874523283,0.5004492822158196
1+2=Paradise,0.03533411740189156,-1.6913065743836662,-0.6747030078933357,1.082426346170408,-0.6317296311567051,-1.4563890191454532,0.1329170683382908,-0.6144015170604643,-0.20688029015980536,0.4757225616210579
1000-nen Joou: Queen Millennia,-2.1827884842285052,2.3929008278117876,2.6630308010076766,-2.482095082660733,-0.4581385331780505,0.8053202298668485,0.11275312872905925,-0.8254986471828706,-0.9800783098948054,2.2671993064110407
11eyes,-0.5577021980526164,-0.19054958284364734,0.0005958480166389742,-0.18216540953789714,-1.1705146507458422,-0.46910606007365857,0.037819921323193985,-0.6127754818416102,-0.7125711286155357,0.46297287239263984
11eyes: Momoiro Genmutan,-0.11336402503529783,-0.03380674581666312,-0.43744194619421967,0.7417004791491016,-1.1363272153285036,0.25967281265979325,0.8737662825348508,-0.23336956891551533,-0.8920599830870425,1.2544765550438068
12-sai.,-1.1838798439893146,0.29761152453796136,-2.295468818741107,-1.337497858046709,-3.233534560729562,0.7058713245335912,-1.1811478097144126,-1.0220838591406165,-2.5376600843728254,-3.962284152462639
12-sai.: Chicchana Mune no Tokimeki,0.7613957764860354,-0.4279053106707764,-0.4826828035214848,-0.679369252879325,1.2086766301293037,-1.345241762815257,0.5618637556638253,-3.2722142113390342,0.23477777521696785,1.0924869413553027
15 Bishoujo Hyouryuuki,-1.42019650250673,0.5370787099050046,-0.05935244133263173,1.3761041145435253,-0.19942364606903312,0.1028619632327757,-0.5703606236690814,2.0242360673344915,-0.9082362089359441,0.18351983504104344
18if,-0.29937775354721907,0.45379980738869674,-1.0867525300044298,0.3111293608024118,0.2911588495038995,-1.8423227247077036,-1.1792745876231987,-2.03908570499832,-0.4968360806937475,-1.888716920382794
25-sai no Joshikousei,0.5168450543430845,-0.6690040934491693,-0.8129007125336262,0.12460713623105643,0.6141265617317189,-0.8552268026260312,-1.6400054337046295,0.17287596296926197,-1.4851465268891575,0.2345592420727746
3-gatsu no Lion,-0.20221024919194572,0.4033081198122637,-1.989551091288756,-0.34922784738584217,1.6625879681840776,-0.5672842003544682,-0.7712737147270347,-0.37949890252277435,-0.0891220643658644,-1.8363623426333897
